0,1,2,3,4,5,6,7
34.4,0.60694,0.78877,0.84191,0.80953,0.83942,0.81119,0.88924
34.5,0.60694,0.77632,0.83859,0.80289,0.85271,0.79625,0.87097
34.6,0.59864,0.77715,0.82946,0.78794,0.83942,0.80953,0.8826
34.7,0.59864,0.75971,0.82697,0.79376,0.85271,0.84191,0.87429
34.8,0.61026,0.75141,0.83112,0.78794,0.85935,0.85852,0.86931
34.9,0.61026,0.74062,0.82365,0.77632,0.86848,0.87014,0.85105
35,0.61857,0.73481,0.81866,0.76885,0.86682,0.85935,0.84606
35.1,0.62106,0.7456,0.81119,0.75888,0.88509,0.85188,0.84856
35.2,0.62106,0.75141,0.82365,0.75805,0.89007,0.86765,0.84523
35.3,0.62106,0.74726,0.81036,0.77383,0.88094,0.85852,0.84357
35.4,0.62106,0.74892,0.80704,0.78379,0.88675,0.85022,0.85188
35.5,0.61857,0.75307,0.82282,0.79376,0.88426,0.86848,0.83527
35.6,0.62023,0.75224,0.81368,0.79542,0.86682,0.87346,0.83693
35.7,0.62023,0.75224,0.82199,0.77466,0.87595,0.87263,0.82282
35.8,0.62106,0.75307,0.84108,0.77134,0.87762,0.88343,0.82199
